,,,,,
Google map URL,NAME,ADDRESS_FULL,PHONE_NUMBER,WEBSITE,RATING
"https://www.google.fr/maps/place/Bressane+%2B+Perona+Photographes/@48.8572258,2.215808,13z/data=!4m9!1m2!2m1!1sphotographe+mariage!3m5!1s0x47e6717c88cffc3d:0xbcb137bdfd60164d!8m2!3d48.8572258!4d2.281726!16s%2Fg%2F11sw_8yym1?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoASAFQAw%3D%3D",Bressane + Perona Photographes,"7 Rue Chernoviz, 75016 Paris, France",+33 7 85 18 45 65,http://www.bressaneperona.com/,5
"https://www.google.fr/maps/search/photographe+mariage/@48.8282562,2.2533204,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDIxMC4wIKXMDSoASAFQAw%3D%3D",JF Photographe,"JF Photographe, 311 Chem. de la Brie, 77550 Moissy-Cramayel, France",+33 6 22 79 25 17,http://www.jf-photographe.com/,5
,BENA PRODUCTION - Agence Photo & Vidéo,"BENA PRODUCTION - Agence Photo & Vidéo, 3 Rue des Chaufourniers, 75019 Paris, France",+33 6 98 27 80 99,http://www.benaproduction.com/,"4,9"
,Justinehphotography,"Justinehphotography, Sq. Louis Blériot, 92130 Issy-les-Moulineaux, France",,https://justinehphotography.com/,5
,Basile Crespin Photography,"Basile Crespin Photography, 5 Rue du Général Renault, 75011 Paris, France",+33 6 66 57 14 05,http://www.paris-photographe-mariage.com/,5
,PH EVENTS Photographe de Mariage Fontainebleau 77,"PH EVENTS Photographe de Mariage Fontainebleau 77, 14 Av. du Général de Gaulle, 77210 Avon, France",+33 7 77 28 19 81,https://ph-events-photographie.com/,"4,9"
,L'oeil de votre événement,"L'oeil de votre événement, 35 Rue Joseph Bertrand, 78220 Viroflay, France",+33 6 87 09 41 34,https://pascalversaci.wixsite.com/oeilevenement,5
,Jeremy Froeliger,"Jeremy Froeliger, 146 Rue Cardinet, 75017 Paris, France",+33 6 38 55 38 08,https://www.photosmariage.fr/,"4,9"
,Mariem de SaintK,"Mariem de SaintK, 109 Rue Manin, 75019 Paris, France",+33 6 81 88 08 72,https://mariemdesaintk.com/,5
,"Marie V Photographie - Grossesse, famille, mariage - Essonne (91) et Ile-de-France (IDF) 🙂","Marie V Photographie - Grossesse, famille, mariage - Essonne (91) et Ile-de-France (IDF) 🙂, 5 All. de la Buchette, 91560 Crosne, France",+33 7 68 92 32 96,https://marievphotographie.fr/?utm_source=organic&utm_medium=organic&utm_campaign=GMB,"4,9"
,Vibrant Feelings,"Vibrant Feelings, 19 Rue Lahire, 75013 Paris, France",+33 6 59 70 81 11,https://www.vibrant-feelings.com/,"4,8"
,Angela di Paolo Photography,"Angela di Paolo Photography, 59 Rue de Bretagne, 75003 Paris, France",+33 6 58 50 96 13,http://www.angeladipaolo.fr/,"4,9"
,Fanny Ritz Photographe,"Fanny Ritz Photographe, 9 Rue de l'Indre, 75020 Paris, France",+33 6 63 09 27 55,http://www.fannyritz.com/,5
,Axiane Photographe,"Axiane Photographe, N20, 91300 Massy, France",+33 6 49 80 59 62,http://www.axianephotographe.fr/,5
,Didier Laurent Photographe,"Didier Laurent Photographe, Rue des Hêtres, 93160 Noisy-le-Grand, France",+33 6 51 87 70 38,https://www.laurentdidierphotographe.com/,"4,9"
,Studio Art Photographe Paris,,+33 6 66 00 25 25,https://studioart-photographe.fr/,5
,Raffi Mardirossian,"Raffi Mardirossian, 3 Rue des Chantiers, 75005 Paris, France",+33 6 12 86 82 96,https://www.photographe-mariage.fr/,5
,Noitome Photo,"Noitome Photo, 4 Rue de la Division Leclerc, 78440 Gargenville, France",+33 7 56 95 11 11,https://noitomephoto.com/,5
,Alex Rocca Photographe,"Alex Rocca Photographe, 80 Rue d'Elbeuf, 76100 Rouen, France",+33 7 83 01 12 54,https://www.alexroccaphoto.fr/,5
,Cedric Derbaise Photographe,"Cedric Derbaise Photographe, 374 Rue de Pierrepont, 60430 Ponchon, France",+33 6 07 78 99 94,http://www.cedric-derbaise.com/,5
,André Devienne Photographe de Mariage,"André Devienne Photographe de Mariage, 6 Rue Claude Monet, 95440 Écouen, France",+33 6 25 95 79 60,https://www.andredevienne.fr/,"4,9"
,Lina Raziq,"Lina Raziq, 5 Rue Charles Dickens, 75016 Paris, France",+33 6 17 40 43 81,https://linaraziq.com/,"4,8"
,Photographe Mariage Paris - Georges Vuong Photographe,"Photographe Mariage Paris - Georges Vuong Photographe, 158 Rue St Charles, 75015 Paris, France",+33 6 76 97 69 59,https://www.georgesvuong.fr/,5
,"Marina Kyroglou Photographe - Mariage, Grossesse, Famille - Fontainebleau","Marina Kyroglou Photographe - Mariage, Grossesse, Famille - Fontainebleau, 3 Rue de Larchant, 77760 Villiers-sous-Grez, France",+33 6 71 90 99 35,https://www.marinakyroglou.fr/,5
,Evanie photographe IDF mariage famille,"Evanie photographe IDF mariage famille, 35 Rue Jean XXIII, 91800 Brunoy, France",+33 7 72 31 49 60,https://www.evaniephotographe.com/,5
,Mon Photographe Mariage,"Mon Photographe Mariage, 4 Rue de la Garenne, 91230 Montgeron, France",+33 6 99 13 07 08,https://www.monphotographemariage.com/,"4,8"
,Podgorski Victor,"Podgorski Victor, 37 Rte des Andelys, 27510 Pressagny-l'Orgueilleux, France",+33 6 84 10 94 88,http://www.victor-podgorski.com/,"4,9"
,Solene Lagant photographe famille et mariage,"Solene Lagant photographe famille et mariage, 34 Clos des Champs, 28130 Saint-Martin-de-Nigelles, France",,https://www.solenelagant.com/,5
,Naïs & Isaac,"Naïs & Isaac, 18 Rue Jean Jaurès, 91700 Villiers-sur-Orge, France",+33 6 61 60 41 01,http://naisetisaac.com/,5
,Arnaud Delaunay photographe,"Arnaud Delaunay photographe, 4 Rue des Vaux de Lèves, 28300 Lèves, France",+33 6 60 23 31 20,http://www.arnauddelaunay.com/,5
,Les Amoureux Photographie,"Les Amoureux Photographie, 2 Quai Eugène Gaudineau, 77400 Pomponne, France",,https://www.lesamoureuxphotographie.fr/,5
,Objectif-mariage,"Objectif-mariage, 33 Rue Philippe de Girard, 75010 Paris, France",+33 6 49 73 21 32,https://www.objectif-mariage.fr/,5
,Maxime Desessard,"Maxime Desessard, 12 Rue de la Verrerie, 75004 Paris, France",+33 6 09 07 83 56,https://www.studio-max.fr/,5
,Wander Moons Photographe professionnel,"Wander Moons Photographe professionnel, 52 Bis Rue Jean Jaurès, 91300 Massy, France",+33 6 95 73 94 16,https://wandermoons.com/,5
,Alexandre Proix - Photographe de mariage,"Alexandre Proix - Photographe de mariage, 32 Rue Baron, 75017 Paris, France",+33 6 07 19 37 24,https://www.alexandreproix.com/,5
,Nicolas Baudry Photographe,"Nicolas Baudry Photographe, 56 Bd de Clichy, 75018 Paris, France",+33 6 50 61 65 82,https://www.nicolasbaudry.com/,"4,9"
,Guillaume Galmiche - Photographe Événementiel : Mariage - Entreprise - Médias,"Guillaume Galmiche - Photographe Événementiel : Mariage - Entreprise - Médias, 9 Rue Claude Bernard, 75005 Paris, France",,https://bento.me/guillaumegalmiche,5
,Monsieur Jeff - Photographe,"Monsieur Jeff - Photographe, 120 Rue de la République, 92800 Puteaux, France",,https://monsieurjeff.com/,5
,Lora Barra,"Lora Barra, 106 Rue du Château, 92100 Boulogne-Billancourt, France",+33 6 10 81 40 34,http://www.lorabarra.com/,5
,Laetitia Rivière Photography,"Laetitia Rivière Photography, Bd Aristide Briand 113, 91600 Savigny-sur-Orge, France",+33 6 13 26 13 01,https://www.laetitiariviere.com/,5
,Paris Photographer,"Paris Photographer, 1 Place du Marché, 78110 Le Vésinet, 78110 Le Vésinet, France",,,5
,JJGueudry-photographe Photographe de Mariage 77 Dammartin,"JJGueudry-photographe Photographe de Mariage 77 Dammartin, 4 Rue de Bourbon Condé, 77230 Dammartin-en-Goële, France",+33 6 69 15 00 35,,5
,VinceWLKR Photographe - (Vincent WALKER),"VinceWLKR Photographe - (Vincent WALKER), Rue de Seine, 77240 Seine-Port, France",+33 6 89 21 08 68,https://www.vincewlkr.com/,5
,Joanna Bhm,"Joanna Bhm, 9 Rue Amédée Bollée, 92500 Rueil-Malmaison, France",+33 6 24 32 51 34,http://www.joannabhmphotographies.com/,5
,Morgane Green - Photographe,"Morgane Green - Photographe, 60000 Beauvais, France",,http://www.morganegreen.com/,5
,Séverine Alves Photographe Mode/Evènements/Mariage,"Séverine Alves Photographe Mode/Evènements/Mariage, 5 Bd du Bel air, 93460 Gournay-sur-Marne, France",+33 6 78 06 67 94,https://www.severine-photographie.fr/,5
,jmPictures,,+33 6 95 01 52 58,https://jmpictures.fr/,"4,9"
,Pierre Torset Photography,"Pierre Torset Photography, 66 Rue Orfila, 75020 Paris, France",+33 6 28 23 79 53,https://www.paris-photographer.net/,5
,Latin Capture,"Latin Capture, 17 Chem. des Prairies-Visy, 77610 Fontenay-Trésigny, France",+33 6 47 15 45 15,http://www.latincapture.com/,5
,Photographe Mariage - Yoann Pallier,"Photographe Mariage - Yoann Pallier, All. des Fontaines, 95210 Saint-Gratien, France",,https://www.yoannpallier.com/,5
,My Shooting Photo - Photographe,"My Shooting Photo - Photographe, 30-36 Rue du Sergent Bauchat, 75012 Paris, France",+33 6 67 40 42 35,https://www.myshootingphoto.fr/,"4,9"
,Marie Laure Duarte,"Marie Laure Duarte, 97 Rue de France, 77300 Fontainebleau, France",+33 6 50 92 14 77,http://www.marielaureduarte.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2751591037534683530,5
,Camera Workshop Du Loing,"Camera Workshop Du Loing, 42 Rue Grande, 77250 Moret sur Loing, France",+33 1 64 31 15 21,http://www.latelierphotoduloing.com/,"4,9"
,Mickael Schmidt - Photographe professionnel,"Mickael Schmidt - Photographe professionnel, 136 Av. du Général de Gaulle, 78600 Maisons-Laffitte, France",+33 7 60 53 70 81,https://mickaelschmidt.com/,5
,Grain de folie Photographie & Evénementiel,"Grain de folie Photographie & Evénementiel, 12 Av. des Prés, 78180 Montigny-le-Bretonneux, France",+33 6 86 18 71 91,http://www.graindefolie-photographe.fr/,"4,9"
,Samantha Pastoor Photographe,"Samantha Pastoor Photographe, 8 Av. Paul Cézanne, 94420 Le Plessis-Trévise, France",+33 6 12 40 34 30,http://www.samanthapastoor.com/,5
,Fanny Roger Photography,"Fanny Roger Photography, 15 Rue des Abbesses, 75018 Paris, France",+33 6 58 51 98 47,https://fannyphotodeco.com/,5
,Les Mariages d'Elo,,+33 6 43 52 89 36,http://www.lesmariagesdelo.com/,5
,Graines de Vies - Photographe,"Graines de Vies - Photographe, 6bis Rue Basse, 95640 Neuilly-en-Vexin, France",+33 6 75 55 14 87,http://www.grainesdevies.com/,"4,9"
,Kheyar Karim Photography,"Kheyar Karim Photography, 7-9 Rue du Grenier-Saint-Lazare, 75003 Paris, France",+33 6 76 26 60 33,https://www.karimkheyar.fr/,"4,9"
,FRED PHOTOGRAPHY,"FRED PHOTOGRAPHY, 11 Av. du Capitaine Louys, 93250 Villemomble, France",+33 6 09 88 96 89,https://fred-photography.com/,"4,7"
,Eric Pothier Photographies,"Eric Pothier Photographies, 17 Rue des Cités, 92500 Rueil-Malmaison, France",+33 6 68 21 82 68,https://ericpothier.fr/,5
,Agence Pearl,"Agence Pearl, 2 Pass. Flourens, 75017 Paris, France",+33 6 69 67 27 19,http://www.agencepearl.com/,5
,Gwendoline Chopineau photographe,"Gwendoline Chopineau photographe, 53 Rue Francoeur, 91170 Viry-Châtillon, France",+33 6 27 08 48 25,https://gc-photographie.fr/,5
,Martin Wallace,"Martin Wallace, 45 Rue Armand Carrel, 76000 Rouen, France",+33 6 02 50 36 85,https://www.martinwallace.fr/,5
,Nicolas Lefebvre photographe,"Nicolas Lefebvre photographe, 7 Parc de la Saâne, 76130 Mont-Saint-Aignan, France",+33 6 15 93 06 76,http://www.photographe-nicolas-lefebvre.fr/,5
,photographe mariage - videophoto-pro,"photographe mariage - videophoto-pro, 2 All. Pissaro, 95230 Soisy-sous-Montmorency, France",,https://www.videophoto-pro.com/,"4,9"
,Lika Banshoya - Poetic Photography,"Lika Banshoya - Poetic Photography, 11 Cité Falaise, 75018 Paris, France",+33 6 60 81 64 02,http://www.likabanshoyaweddings.com/,5
,Wedding Capture,"Wedding Capture, 11 Rue de Clamart, 92100 Boulogne-Billancourt, France",+33 7 82 15 37 87,https://www.wedding-capture.fr/,5
,Guillaume Marbeck,"Guillaume Marbeck, 66 Rue de Lisbonne, 75008 Paris, France",,https://www.guillaumemarbeck.com/,5
,JulienPhotographe,"JulienPhotographe, 21 Av. Georges Pompidou, 92150 Suresnes, France",+33 6 24 78 30 65,https://www.julienphotographe.fr/,5
,Expert photo de mariage,"Expert photo de mariage, 4 Rue Nungesser et Coli, 75016 Boulogne-Billancourt, France",+33 6 62 66 40 18,https://www.photographes-mariage.com/,5
,Olivier Guyot Photographie,"Olivier Guyot Photographie, 1188 Rue de la Bretechelle, 78370 Plaisir, France",+33 6 61 71 66 09,http://www.olivierguyot.fr/,5
,Frédéric Lipzyc,"Frédéric Lipzyc, 92 Av. des Ternes, 75017 Paris, France",+33 6 59 39 15 94,http://www.live-photographe.com/,5
,Photographe à Herblay - mariage & naissance,"Photographe à Herblay - mariage & naissance, 17 Rue aux Perles, 95220 Herblay-sur-Seine, France",+33 6 38 55 38 08,http://www.objectifphoto.fr/,"4,9"
,DALALE SHOEIR PHOTOGRAPHE,"DALALE SHOEIR PHOTOGRAPHE, 3 Rue de la Baleine du Groenland, 77340 Pontault-Combault, France",+33 6 34 66 91 99,https://dalaleshoeir.com/,"4,9"
,Sabrina Godemert Photographe,"Sabrina Godemert Photographe, Av. de la Gare, 77310 Saint-Fargeau-Ponthierry, France",+33 6 64 86 83 11,http://www.sabrinagodemert-photo.fr/,5
,Stéphane Auvray - photographe Oise et Marne,"Stéphane Auvray - photographe Oise et Marne, 8 Rue de l'Ancien Presbytère, 60440 Nanteuil-le-Haudouin, France",+33 6 09 56 77 55,http://www.stephane-auvray.fr/,"4,9"
,Photographe de Mariage Paris,"Photographe de Mariage Paris, 9 Rue Fabre d'Eglantine, 75012 Paris, France",+33 1 84 67 29 12,https://photographe-de-mariage.org/,5
,Christophe ROLAND Photographe,"Christophe ROLAND Photographe, 77100 Meaux, France",,https://christopheroland.com/,"4,8"
,Patrick Moreira - Photographe Mariage,"Patrick Moreira - Photographe Mariage, All. Downpatrick, 95870 Bezons, France",+33 6 75 67 14 50,https://patrickmoreira.fr/,5
,Benjamin Brette,,+33 6 82 17 16 52,http://www.benjaminbrette.com/,5
,PixMariage | Photographe de Mariage,"PixMariage | Photographe de Mariage, La Mussine, 77820 Le Châtelet-en-Brie, France",+33 6 21 64 74 34,,5
,Christophe Lefebvre Photographer Hire Photobooth,"Christophe Lefebvre Photographer Hire Photobooth, 7 Rue Masson, 78600 Maisons-Laffitte, France",+33 6 03 09 37 89,https://christophelefebvre.com/,5
,Xavier Rohard Photographie | Mariage | Portrait,"Xavier Rohard Photographie | Mariage | Portrait, 203 Av. de la Division Leclerc, 92290 Châtenay-Malabry, France",,https://www.xr-photographie.com/,5
,Maxsens Photographe,"Maxsens Photographe, 6 Sq. de la Pierre Fite, 78120 Rambouillet, France",+33 6 88 61 16 37,http://maxsens.fr/,5
,Chris Marchesi PHOTOGRAPHE Seine et Marne 77,"Chris Marchesi PHOTOGRAPHE Seine et Marne 77, 29 Rue de la Marne, 77170 Servon, France",+33 6 99 82 20 95,http://www.chrismarchesi.com/,"4,9"
,"📸 Edouard Lefort - Photographe à Rouen pour Entreprises, Mariages & Particuliers","📸 Edouard Lefort - Photographe à Rouen pour Entreprises, Mariages & Particuliers, 64 Bd de l'Europe, 76100 Rouen, France",+33 6 76 60 48 89,https://www.edouardlefort.com/,5
,Anaïs Roguiez Photographe,"Anaïs Roguiez Photographe, 2 Grande Rue, 95280 Jouy-le-Moutier, France",+33 6 59 10 17 78,https://aroguiezphotographie.com/,5
,Claire Morris Photography,"Claire Morris Photography, 72 Rue de Gergovie, 75014 Paris, France",,https://clairemorrisphotography.com/,"4,9"
,Photographe Studio/Mariage/Famille/Corporate - Jérôme Surel,"Photographe Studio/Mariage/Famille/Corporate - Jérôme Surel, 5 Rue de Mondonville, 91290 Arpajon, France",+33 6 10 70 17 95,,"4,6"
,R Mariage,"R Mariage, 10 Rue des Aubépines, 77400 Thorigny-sur-Marne, France",+33 6 23 31 03 46,http://www.r-mariage.fr/,5
,Kathia Koy Photographie,"Kathia Koy Photographie, 38 Rue Henry Litolff, 92700 Colombes, France",+33 7 56 82 35 67,https://kathiakoyphotographie.fr/,5
,Alisson Ressy Photographe - Studio AR,"Alisson Ressy Photographe - Studio AR, Cabinet Osez Être, 99 Av. Roger Guichard, 95610 Éragny, France",,http://alissonressy.com/,5
,Liberty Photographie & Amoureux en Photo,,+33 7 68 07 43 45,http://www.amoureuxenphoto.com/,5
,Julien Laurent-Georges,"Julien Laurent-Georges, 10 Rue Parent de Rosan, 75016 Paris, France",+33 6 32 84 09 75,https://www.photocamex.com/,"4,8"
,Eric ROBINEAU photographe,,+33 6 63 72 90 21,http://www.ericrobineau.com/,5
,Claire Galliot - Photographe,,+33 6 03 53 07 52,https://clairegalliotphotographe.com/,5
,"Memories | Photographe mariage, famille, grossesse, bébé, couple","Memories | Photographe mariage, famille, grossesse, bébé, couple, 27 Av. Lamartine, 77290 Mitry-Mory, France",,https://www.thememories.fr/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,5
,Les Photos De Bela,,+33 6 52 53 54 84,https://lesphotosdebela.fr/,"4,9"
,Oisín Gormally Photography,"Oisín Gormally Photography, 55 Rue Pascal, 75013 Paris, France",+33 6 38 35 71 43,http://www.oisingormallyphotography.com/,5
,Photo’Pass28,"Photo’Pass28, 28360 La Bourdinière-Saint-Loup, France",+33 6 81 80 55 27,https://m.facebook.com/DavidPhotopass,5
,Studio Idées-Photos / Photographe mariage Essonne,"Studio Idées-Photos / Photographe mariage Essonne, 25 Av. Maurice Barres, 91420 Morangis, France",+33 6 10 63 38 01,https://studio-ideesphotos.com/,5
,Nicolas Dantan - Photographe de mariage,,+33 6 85 77 53 72,https://ndphotos.fr/,5
,Edouard Pacreau,"Edouard Pacreau, 45 Rue Raymond Patenotre, 78120 Rambouillet, France",+33 6 74 75 72 11,https://www.edouardpacreau.com/,5
,Guillaume Gimenez,,+33 6 51 50 94 83,https://guillaumegimenez.com/,5
,Studio Matthieu,,+33 6 62 61 47 24,https://www.studiomatthieu.com/,5
,TesBellesPhotos,"TesBellesPhotos, Rue Camille Claudel, 78130 Les Mureaux, France",+33 6 32 77 97 07,https://www.tesbellesphotos.fr/,"4,8"
,"Fabrice Labit Photographe - Portrait, Polas, Test agence, Mariage, Événementiel - Paris","Fabrice Labit Photographe - Portrait, Polas, Test agence, Mariage, Événementiel - Paris, 23 Rue Bénard, 75014 Paris, France",+33 6 83 25 24 89,https://fabricelabit.com/,5
,photographe mariage 77,"France, Bussy-Saint-Georges, Av. Marie Curie, photographe mariage 77邮政编码: 77600",+33 6 13 23 69 45,,5
,Photographe de mariage - Eric Arrachart,,+33 6 22 42 03 47,https://www.ericarrachart.fr/,5
,Nolwenn Rabineau Photographe,"Nolwenn Rabineau Photographe, 116 Rue Wilson, 77880 Grez-sur-Loing, France",+33 7 67 77 86 01,https://nr-photographe.com/,5
,Studio wajih,"Studio wajih, 7 All. des Pâquerettes, 78990 Élancourt, France",+33 6 01 28 29 45,https://www.photographe-demariage.fr/,5
,Studio Photo Mariage,"Studio Photo Mariage, 36bis Rue Henri Barbusse, 92110 Clichy, France",+33 1 47 56 09 85,https://www.studio-photographe.com/photographe-mariage-clichy/,"3,9"
,DANIELA THURISSEY PHOTOGRAPHY,"DANIELA THURISSEY PHOTOGRAPHY, Bd de la République, 92250 La Garenne-Colombes, France",+33 6 58 10 61 89,http://danielathurissey.com/,5
,Sarah Chesnel - Photographe Evénementiel - Mariage & Famille,,+33 6 12 55 49 16,https://www.sarahchesnelphotographie.com/,5
,Alain Leprevost photographe vidéaste,"Alain Leprevost photographe vidéaste, 6 Chem. de la Morière, 27580 Bourth, France",+33 6 11 02 48 70,http://alainleprevost.fr/,5
,Mathieu Morice,"Mathieu Morice, 6 Rue Pépin le Bref, 02200 Soissons, France",+33 6 81 29 09 95,,"4,6"
,photographe mariage - Virginie Devisse,"photographe mariage - Virginie Devisse, Rue du Berceau, 94130 Fontenay-sous-Bois, France",+33 6 63 33 41 66,,
